species_name,candidate_type,source_class,source_order,source_family,source_agw_group,decision,review_notes
Ragondin,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Caviomorpha,Echimyidés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Rainette verte,"Reptiles, Amphibiens",Amphibia,Anura,Hylidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Rat brun,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Rat des moissons,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Rat musqué,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Muroidea,Cricétidés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Rat noir,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Raton laveur,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Musteloidea,Procyonidés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Remiz penduline,Petits Oiseaux,Aves,Passériformes,Rémizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Renard roux,Canidés,Mammalia,Carnivora,Canidés,Mammifère taille moyenne,pending_domain_review,taxonomy: family Canidae
Rhinolophe grand fer à cheval,chauves-souris,Mammalia,Chiroptera,Rhinolophidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Rhinolophe petit fer à cheval,chauves-souris,Mammalia,Chiroptera,Rhinolophidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Roitelet huppé,Petits Oiseaux,Aves,Passériformes,Régulidés,Autre oiseau,pending_domain_review,source description exact-name membership
Roitelet à triple bandeau,Petits Oiseaux,Aves,Passériformes,Régulidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rollier d'Europe,Moyens Oiseaux,Aves,Coraciiformes,Coraciidés,Autre oiseau,pending_domain_review,source description exact-name membership
Roselin cramoisi,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rossignol philomèle,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rossignol progné,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rougegorge familier,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rougequeue noir,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rougequeue à front blanc,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rousserolle effarvatte,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rousserolle isabelle,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rousserolle turdoïde,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Rousserolle verderolle,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Râle d'eau,Moyens Oiseaux,Aves,Gruiformes,Rallidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Râle des genêts,Moyens Oiseaux,Aves,Gruiformes,Rallidés,Autre oiseau,pending_domain_review,source description exact-name membership
Salamandre tachetée,"Reptiles, Amphibiens",Amphibia,Caudata,Salamandridae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Sanglier,Ongulés,Mammalia,Suina,Suidés,Ongulé,pending_domain_review,source description exact-name membership
Sarcelle d'hiver,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Sarcelle d'été,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Sarcelle à ailes bleues,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Serin cini,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Serotine bicolore,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Sittelle d'Europe,Petits Oiseaux,Aves,Passériformes,Sittidés,Autre oiseau,pending_domain_review,source description exact-name membership
Sizerin cabaret,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Sizerin flammé,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Sonneur à ventre jaune,"Reptiles, Amphibiens",Amphibia,Anura,Bombinatoridae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Souris,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Spatule blanche,Grands Oiseaux,Aves,Pélécaniformes,Threskiornithidés,Grand échassier,pending_domain_review,source description exact-name membership
Sterne arctique,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Sterne caspienne,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Sterne caugek,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Sterne hansel,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Sterne naine,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Sterne pierregarin,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Syrrhapte paradoxal,Grands Oiseaux,Aves,Pterocliformes,Pteroclidés,Autre oiseau,pending_domain_review,source description exact-name membership
Sérotine commune,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Tadorne de Belon,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Tamia de Sibérie,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Rodentia,Sciuridés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Tarier des prés,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Tarier pâtre (torquatus),Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Tarin des aulnes,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Taupe,Rongeurs,Mammalia,Eulipotyphla,Talpidés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Tetras lyre,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Tichodrome échelette,Petits Oiseaux,Aves,Passériformes,Tichodromidés,Autre oiseau,pending_domain_review,source description exact-name membership
Torcol fourmilier,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Tortue aquatique,"Reptiles, Amphibiens",Reptilia,Testudines,Emydidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Tortue d'Hermann,"Reptiles, Amphibiens",Reptilia,Testudines,Testudinidés,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Tortue de Floride,"Reptiles, Amphibiens",Reptilia,Testudines,Emydidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Tortue terrestre,"Reptiles, Amphibiens",Reptilia,Testudines,Testudinidés,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Tournepierre à collier,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Tourterelle des bois,Petits Oiseaux,Aves,Columbiformes,Colombidés,Autre oiseau,pending_domain_review,taxonomy: Aves residual operational group
Tourterelle turque,Petits Oiseaux,Aves,Columbiformes,Colombidés,Autre oiseau,pending_domain_review,taxonomy: Aves residual operational group
Traquet motteux,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Traquet oreillard,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Triton alpestre,"Reptiles, Amphibiens",Amphibia,Caudata,Salamandridae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Triton crêté,"Reptiles, Amphibiens",Amphibia,Caudata,Salamandridae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Triton palmé,"Reptiles, Amphibiens",Amphibia,Caudata,Salamandridae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Triton ponctué,"Reptiles, Amphibiens",Amphibia,Caudata,Salamandridae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Troglodyte mignon,Petits Oiseaux,Aves,Passériformes,Troglodytidés,Autre oiseau,pending_domain_review,source description exact-name membership
Vanneau huppé,Moyens Oiseaux,Aves,Charadriiformes,Charadriidés,Limicole,pending_domain_review,source description exact-name membership
Vautour fauve,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Vautour percnoptère,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Venturon montagnard,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Verdier d'Europe,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Vipère péliade,"Reptiles, Amphibiens",Reptilia,Squamata,Viperidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Vison américain,Mustélidés,Mammalia,Musteloidea,Mustélidés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Xénope lisse,"Reptiles, Amphibiens",Amphibia,Anura,Pipidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
