ID,Species,CreavesSpecies,Class,Order,Family,NativeStatus,AgwGroup,SubsideGroup,Game,Huntable
SP320,Oxyura jamaicensis,Erismature rousse,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG4,0,0
SP321,Oxyura leucocephala,Erismature à tête blanche,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP322,Pandion haliaetus,Balbuzard pêcheur,Aves,Accipitriformes,Pandionidés,NS1,Rapace,SG1,0,0
SP323,Panurus biarmicus,Panure à moustaches,Aves,Passériformes,Panuridés,NS1,Autre oiseau,SG2,0,0
SP324,Parabuteo unicinctus,Buse de harris,Aves,Accipitriformes,Accipitridés,NS4,Rapace,SG4,0,0
SP325,Parus ater,Mésange noire,Aves,Passériformes,Paridés,NS1,Autre oiseau,SG2,0,0
SP326,Parus caeruleus,Mésange bleue,Aves,Passériformes,Paridés,NS1,Autre oiseau,SG2,0,0
SP327,Parus cristatus,Mésange huppée,Aves,Passériformes,Paridés,NS1,Autre oiseau,SG2,0,0
SP328,Parus major,Mésange charbonnière,Aves,Passériformes,Paridés,NS1,Autre oiseau,SG2,0,0
SP329,Parus montanus,Mésange boréale,Aves,Passériformes,Paridés,NS1,Autre oiseau,SG2,0,0
SP33,Anser brachyrhynchus,Oie à bec court,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
SP330,Parus palustris,Mésange nonnette,Aves,Passériformes,Paridés,NS1,Autre oiseau,SG2,0,0
SP331,Passer domesticus,Moineau domestique,Aves,Passériformes,Passeridés,NS1,Autre oiseau,SG2,0,0
SP332,Passer montanus,Moineau friquet,Aves,Passériformes,Passeridés,NS1,Autre oiseau,SG2,0,0
SP333,Pelobates fuscus,Pélobate brun,Amphibia,Anura,Pelobatidae,NS1,Batracien,SG2,0,0
SP334,Pelophylax kl. esculentus,Grenouille verte,Amphibia,Anura,Ranidae,NS1,Batracien,SG2,0,0
SP335,Pelophylax lessonae,Grenouille de Lessona,Amphibia,Anura,Ranidae,NS1,Batracien,SG2,0,0
SP336,Pelophylax ridibundus,Grenouille rieuse,Amphibia,Anura,Ranidae,NS1,Batracien,SG2,0,0
SP337,Perdix perdix,Perdrix grise,Aves,Galliformes,Phasianidés,NS1,Autre oiseau,SG2,1,1
SP338,Pernis apivorus,Bondrée apivore,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP339,Petronia petronia,Moineau soulcie,Aves,Passériformes,Passeridés,NS1,Autre oiseau,SG2,0,0
SP34,Anser fabalis,Oie des moissons,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
SP340,Phalacrocorax aristotelis,Cormoran huppé,Aves,Suliformes,Phalacrocoracidés,NS1,Autre oiseau d'eau,SG1,0,0
