ID,Country,Region,Province,Municipality,SubMunicipality,PostalCode,Locality,Zoning,Direction
L182,Belgique,Flandre,BRABANT FLAMAND,ASSE,1,1730,Bekkerzeel,Localité non DNF,Localité non DNF
L183,Belgique,Flandre,BRABANT FLAMAND,ASSE,1,1730,Kobbegem,Localité non DNF,Localité non DNF
L184,Belgique,Flandre,BRABANT FLAMAND,ASSE,1,1730,Mollem,Localité non DNF,Localité non DNF
L185,Belgique,Flandre,BRABANT FLAMAND,ASSE,1,1731,Relegem,Localité non DNF,Localité non DNF
L186,Belgique,Flandre,BRABANT FLAMAND,ASSE,1,1731,Zellik,Localité non DNF,Localité non DNF
L187,Belgique,Flandre,BRABANT FLAMAND,TERNAT,0,1740,Ternat,Localité non DNF,Localité non DNF
L188,Belgique,Flandre,BRABANT FLAMAND,TERNAT,1,1741,Wambeek,Localité non DNF,Localité non DNF
L189,Belgique,Flandre,BRABANT FLAMAND,TERNAT,1,1742,Sint-Katherina-Lombeek,Localité non DNF,Localité non DNF
L190,Belgique,Flandre,BRABANT FLAMAND,OPWIJK,1,1745,Mazenzele,Localité non DNF,Localité non DNF
L191,Belgique,Flandre,BRABANT FLAMAND,OPWIJK,0,1745,Opwijk,Localité non DNF,Localité non DNF
L192,Belgique,Flandre,BRABANT FLAMAND,LENNIK,1,1750,Gaasbeek,Localité non DNF,Localité non DNF
L193,Belgique,Flandre,BRABANT FLAMAND,LENNIK,1,1750,Sint-Kwintens-Lennik,Localité non DNF,Localité non DNF
L194,Belgique,Flandre,BRABANT FLAMAND,LENNIK,1,1750,Sint-Martens-Lennik,Localité non DNF,Localité non DNF
L195,Belgique,Flandre,BRABANT FLAMAND,GOOIK,0,1755,Gooik,Localité non DNF,Localité non DNF
L196,Belgique,Flandre,BRABANT FLAMAND,GOOIK,1,1755,Kester,Localité non DNF,Localité non DNF
L197,Belgique,Flandre,BRABANT FLAMAND,GOOIK,1,1755,Leerbeek,Localité non DNF,Localité non DNF
L198,Belgique,Flandre,BRABANT FLAMAND,GOOIK,1,1755,Oetingen,Localité non DNF,Localité non DNF
L199,Belgique,Flandre,BRABANT FLAMAND,ROOSDAAL,1,1760,Onze-Lieve-Vrouw-Lombeek,Localité non DNF,Localité non DNF
L200,Belgique,Flandre,BRABANT FLAMAND,ROOSDAAL,1,1760,Pamel,Localité non DNF,Localité non DNF
L201,Belgique,Flandre,BRABANT FLAMAND,ROOSDAAL,0,1760,Roosdaal,Localité non DNF,Localité non DNF
L202,Belgique,Flandre,BRABANT FLAMAND,ROOSDAAL,1,1760,Strijtem,Localité non DNF,Localité non DNF
L203,Belgique,Flandre,BRABANT FLAMAND,ROOSDAAL,1,1761,Borchtlombeek,Localité non DNF,Localité non DNF
L204,Belgique,Flandre,BRABANT FLAMAND,LIEDEKERKE,0,1770,Liedekerke,Localité non DNF,Localité non DNF
L205,Belgique,Flandre,BRABANT FLAMAND,WEMMEL,0,1780,Wemmel,Localité non DNF,Localité non DNF
L206,Belgique,Flandre,BRABANT FLAMAND,MERCHTEM,1,1785,Brussegem,Localité non DNF,Localité non DNF
L207,Belgique,Flandre,BRABANT FLAMAND,MERCHTEM,1,1785,Hamme,Localité non DNF,Localité non DNF
